task,budget,method,sample_idx,score,word_rep,char_rep,collapsed_old,collapsed_new,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.8,h2o,18,3.5502958579881656,0.8731343283582089,0.92578125,1,1,10,0.41452775931827596,7.0,401
qmsum,0.8,h2o,19,3.0000000000000004,0.875,0.9655172413793104,1,1,7,0.436472079337404,5.0,418
qmsum,0.8,h2o,20,3.2608695652173907,0.8098159509202454,0.8931068931068931,1,1,22,0.3980735941408201,6.0,402
qmsum,0.8,h2o,21,1.1428571428571428,0.9122807017543859,0.9977142857142857,1,1,0,0.42190747663720757,5.0,415
qmsum,0.8,h2o,22,1.0582010582010581,0.827027027027027,0.9182509505703422,1,1,17,0.3811834515807004,5.0,414
qmsum,0.8,h2o,23,4.25531914893617,0.8975903614457831,1.0,1,1,6,0.4058626359425205,5.0,395
qmsum,0.8,h2o,24,15.286624203821656,0.2345679012345679,0.5699588477366255,0,0,20,0.41033242342992066,6.0,412
qmsum,0.8,h2o,25,5.813953488372093,0.21637426900584794,0.48443579766536965,0,0,13,0.41493758836783606,5.0,407
qmsum,0.8,h2o,26,6.0606060606060606,0.8098159509202454,0.8931068931068931,1,1,22,0.3980735941408201,6.0,402
qmsum,0.8,h2o,27,0.0,0.9431818181818182,0.9887218045112782,1,1,2,0.4048502514224925,5.0,390
qmsum,0.8,h2o,28,3.7209302325581395,0.7891891891891892,0.8872377622377622,1,1,9,0.419151827423387,6.0,400
qmsum,0.8,h2o,29,23.111111111111114,0.27741935483870966,0.7033985581874357,0,1,15,0.3966695674893423,5.0,406
qmsum,0.8,h2o,30,0.0,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,405
qmsum,0.8,h2o,31,8.333333333333332,0.3496932515337423,0.6954206602768903,1,1,1,0.4262704482552644,5.0,396
qmsum,0.8,h2o,32,4.225352112676056,0.935064935064935,0.9859437751004017,1,1,3,0.4173221805368938,6.0,418
qmsum,0.8,h2o,33,7.650273224043715,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,409
qmsum,0.8,h2o,34,3.896103896103896,0.8681318681318682,0.9587719298245614,1,1,12,0.3816589326327399,5.0,384
qmsum,0.8,h2o,35,3.4482758620689653,0.8098159509202454,0.8931068931068931,1,1,22,0.3980735941408201,6.0,402
qmsum,0.8,h2o,36,3.0769230769230775,0.8098159509202454,0.8931068931068931,1,1,22,0.3980735941408201,6.0,402
qmsum,0.8,h2o,37,4.545454545454546,0.3496932515337423,0.6954206602768903,1,1,1,0.4262704482552644,5.0,396
qmsum,0.8,h2o,38,4.878048780487805,0.7674418604651163,0.9091743119266055,1,1,20,0.42063458682958654,8.0,401
qmsum,0.8,h2o,39,4.694835680751173,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,405
qmsum,0.8,h2o,40,10.232558139534884,0.5819209039548022,0.8444206008583691,1,1,8,0.40566996382337167,6.0,391
qmsum,0.8,h2o,41,0.0,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,409
qmsum,0.8,h2o,42,7.453416149068322,0.8731343283582089,0.92578125,1,1,10,0.41452775931827596,7.0,401
qmsum,0.8,h2o,43,9.574468085106384,0.48554913294797686,0.9226006191950464,1,1,23,0.4045272024240253,5.0,400
qmsum,0.8,h2o,44,2.877697841726619,0.8681318681318682,0.9587719298245614,1,1,12,0.3816589326327399,5.0,384
qmsum,0.8,h2o,45,12.658227848101266,0.5536723163841808,0.8057482656095144,1,1,11,0.4134394180465211,6.0,392
qmsum,0.8,h2o,46,8.465608465608467,0.5536723163841808,0.8057482656095144,1,1,11,0.4134394180465211,6.0,392
qmsum,0.8,h2o,47,2.285714285714286,0.702247191011236,0.9301270417422868,1,1,7,0.40744978485012956,5.0,401
qmsum,0.8,h2o,48,1.2738853503184715,0.8731343283582089,0.92578125,1,1,10,0.41452775931827596,7.0,401
qmsum,0.8,h2o,49,1.1494252873563218,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,409
qmsum,0.8,snapkv,0,2.8368794326241136,0.8647058823529412,0.9989583333333333,1,1,6,0.6905774754158721,13.0,408
qmsum,0.8,snapkv,1,8.64864864864865,0.574585635359116,0.8169014084507042,1,1,13,0.7323945871743298,14.0,412
qmsum,0.8,snapkv,2,3.7974683544303804,0.75,0.957345971563981,1,1,0,0.7552243242833407,15.0,437
qmsum,0.8,snapkv,3,7.9207920792079225,0.0,0.2054794520547945,0,0,,0.6789641616269898,14.0,375
qmsum,0.8,snapkv,4,0.0,0.9647058823529412,1.0,1,1,0,0.7038501934910298,21.0,405
qmsum,0.8,snapkv,5,4.938271604938271,0.12598425196850394,0.5187353629976581,0,0,25,0.7346172000395615,13.0,431
qmsum,0.8,snapkv,6,6.896551724137932,0.7142857142857143,0.9438596491228071,1,1,12,0.7705003776368412,15.0,401
qmsum,0.8,snapkv,7,3.6585365853658534,0.39204545454545453,0.7130841121495327,1,1,19,0.7853499127939776,15.0,426
qmsum,0.8,snapkv,8,1.282051282051282,0.8941176470588236,1.0,1,1,0,0.7445567409487569,13.0,433
qmsum,0.8,snapkv,9,2.5423728813559325,0.9595959595959596,0.9837288135593221,1,1,6,0.6280543893281777,8.0,403
qmsum,0.8,snapkv,10,3.4682080924855496,0.7777777777777778,0.8497854077253219,1,1,28,0.7373350980229646,13.0,427
qmsum,0.8,snapkv,11,5.9171597633136095,0.39204545454545453,0.7130841121495327,1,1,19,0.7853499127939776,15.0,426
qmsum,0.8,snapkv,12,12.355212355212354,0.5026455026455027,0.838599487617421,1,1,20,0.7739778941817502,14.0,393
qmsum,0.8,snapkv,13,10.294117647058824,0.0,0.3663716814159292,0,0,,0.7212830847580384,14.0,411
qmsum,0.8,snapkv,14,17.511520737327192,0.4342857142857143,0.7908704883227177,1,1,0,0.7392572647551876,15.0,416
qmsum,0.8,snapkv,15,19.718309859154928,0.012987012987012988,0.4455852156057495,0,0,6,0.7187774330190828,14.0,411
qmsum,0.8,snapkv,16,1.646090534979424,0.9595959595959596,0.9837288135593221,1,1,6,0.6280543893281777,8.0,403
qmsum,0.8,snapkv,17,4.232804232804233,0.7777777777777778,0.8497854077253219,1,1,28,0.7373350980229646,13.0,427
qmsum,0.8,snapkv,18,5.825242718446602,0.0,0.45135135135135135,0,0,,0.708152733282113,15.0,397
qmsum,0.8,snapkv,19,6.896551724137931,0.39204545454545453,0.7130841121495327,1,1,19,0.7853499127939776,15.0,426
qmsum,0.8,snapkv,20,6.829268292682928,0.6994535519125683,0.8324607329842932,1,1,17,0.680067679723063,16.0,402
qmsum,0.8,snapkv,21,10.42654028436019,0.0,0.21030042918454936,0,0,,0.7691362307141261,17.0,409
qmsum,0.8,snapkv,22,4.285714285714286,0.12598425196850394,0.5187353629976581,0,0,25,0.7346172000395615,13.0,431
